Setup,Learning_scenario,Metric,NHiTS,NBEATS,Transformer,TSMixer
ELD_to_Bavaria,Zero-Shot,MSE,0.0016356846531517,0.0101337625683024,0.0016159172131059,0.0015984759393728
ELD_to_Bavaria,Zero-Shot,MAE,0.0298889016090525,0.0644751917782493,0.0297274307601831,0.0280981458878765
ELD_to_Bavaria,four_weeks_tl,MSE,0.000378290377932,0.0017490720906194,0.0004890975063159,0.0005530006136806
ELD_to_Bavaria,four_weeks_tl,MAE,0.010301038677536,0.0298347843345254,0.0109764165359648,0.0118544767672464
ELD_to_Bavaria,full_tl,MSE,0.0002836904762909,6414.014485337518,0.0003327552015737,0.0002731517989201
ELD_to_Bavaria,full_tl,MAE,0.0090769507135546,22.287692019433685,0.0101418151021017,0.0088805114959761
ELD_to_Bavaria,full_training,MSE,0.0003006660279108,0.0577790471301837,0.000311661410623,0.0003121946465812
ELD_to_Bavaria,full_training,MAE,0.0089729697069604,0.1541161835052524,0.0090317043385849,0.0095702271157113
ELD_to_Bavaria,four_weeks_training,MSE,0.0003500371435482,214.41639546169475,0.0004956224277548,0.0005173791663709
ELD_to_Bavaria,four_weeks_training,MAE,0.0104605816463431,5.415649332557663,0.0113360162658588,0.0121906797920184
ELD_to_GP2,Zero-Shot,MSE,1.0534150410831735,1.7179627680726927e+25,,1.3327998303190227
ELD_to_GP2,Zero-Shot,MAE,0.6686377973726506,2409700232983.868,,0.7309992304667694
ELD_to_GP2,four_weeks_tl,MSE,0.935946520002494,2.5383760376882634e+28,1.0364521875350958,0.904355007943985
ELD_to_GP2,four_weeks_tl,MAE,0.594310337762728,13974042994751.648,0.6645414444602604,0.5382241418745226
ELD_to_GP2,full_tl,MSE,0.9803861670563818,7.764219925532643e+28,0.9754170048607332,0.6453181565679623
ELD_to_GP2,full_tl,MAE,0.6494168772666938,174928690870283.22,0.6493152640419425,0.4277880427715329
ELD_to_GP2,full_training,MSE,0.987156628309264,1.570130653106954e+28,,0.7064321474793624
ELD_to_GP2,full_training,MAE,0.6509050620648281,84145675509834.88,,0.4513007472158568
ELD_to_GP2,four_weeks_training,MSE,1.398145127993833,1.826191761427966e+26,1.05560482523559,1.0828462612476384
ELD_to_GP2,four_weeks_training,MAE,0.7667093410461433,7988157282554.852,0.6698924119991184,0.5825518177893741
Bavaria_to_ELD,Zero-Shot,MSE,3.2291137965491217,3.65333307424296e+19,10.85500915207132,9.739417237957028
Bavaria_to_ELD,Zero-Shot,MAE,1.44889007269466,3168519092.656022,2.9182863305084896,2.7363405706238573
Bavaria_to_ELD,four_weeks_tl,MSE,0.7538728839071998,5.168881076040426e+25,0.959579986377354,0.5692233121308097
Bavaria_to_ELD,four_weeks_tl,MAE,0.7006223765167877,3372692486624.0527,0.8125480330773514,0.5540680095118328
Bavaria_to_ELD,full_tl,MSE,0.359404459106226,40809090948342.66,0.9467233633690508,0.2331651411678669
Bavaria_to_ELD,full_tl,MAE,0.4125765341259267,4422819.786040146,0.8092439979532339,0.3178890879898176
Bavaria_to_ELD,full_training,MSE,0.3447883097577269,48523436435.15328,0.9476443339873404,0.2273667759676702
Bavaria_to_ELD,full_training,MAE,0.4028308817396199,151504.9511861314,0.8093613301315447,0.3086929206267325
Bavaria_to_ELD,four_weeks_training,MSE,0.4267630456355366,1.4657202076633074e+16,0.9538263759038744,0.4017408970661842
Bavaria_to_ELD,four_weeks_training,MAE,0.4676504400524779,85102625.04562044,0.8123810162944515,0.4319386283737899
Bavaria_to_GP2,Zero-Shot,MSE,22926.29857204514,inf,8.073080738894028,7.60136415557408
Bavaria_to_GP2,Zero-Shot,MAE,94.15374175286162,3.946347316252458e+16,2.112386618824284,1.985873003328522
Bavaria_to_GP2,four_weeks_tl,MSE,74.3439092653543,inf,1.0764055307103249,1.037684296232255
Bavaria_to_GP2,four_weeks_tl,MAE,5.558049265601735,3.9463420822928296e+16,0.6768358216316216,0.6652470705605076
Bavaria_to_GP2,full_tl,MSE,0.8560282022469222,2.4511735751764988e+25,0.9765286231498612,0.6525663262202491
Bavaria_to_GP2,full_tl,MAE,0.5857211282745793,892608117076.7094,0.6486827803595192,0.4311199873086521
Bavaria_to_GP2,full_training,MSE,0.9749815605676152,1.858000394238448e+27,,0.6843418240329248
Bavaria_to_GP2,full_training,MAE,0.6481657855798383,26837135081741.57,,0.4432008354711794
Bavaria_to_GP2,four_weeks_training,MSE,1.082852051397564,3.034176935718432e+26,1.0468052367405656,1.01261653161354
Bavaria_to_GP2,four_weeks_training,MAE,0.6773159216265355,11299160195311.62,0.6661153198160245,0.5616805178046881
GP2_to_Bavaria,Zero-Shot,MSE,0.0017096899138061,1.0222476046034307e+19,0.0017084963768535,0.0017187251328185
GP2_to_Bavaria,Zero-Shot,MAE,0.0307356468366571,666546683.4261364,0.030746576781949,0.0299729494497913
GP2_to_Bavaria,four_weeks_tl,MSE,0.0003649897192837,631877397.6515151,0.0004863054913392,0.0004889885446821
GP2_to_Bavaria,four_weeks_tl,MAE,0.0100679201793602,8700.01196196585,0.0106156009970811,0.0112592427714403
GP2_to_Bavaria,full_tl,MSE,0.000287867185982,329517.69290361984,0.0003264316162516,0.0002937411273898
GP2_to_Bavaria,full_tl,MAE,0.0089335060972988,124.89230162672924,0.00969262701939,0.0094262702614562
GP2_to_Bavaria,full_training,MSE,0.0002770234777857,15965106.91809822,0.0003133545787794,0.0002708067012339
GP2_to_Bavaria,full_training,MAE,0.0088879222396027,1144.9709739107077,0.0090857257336293,0.0086643891558968
GP2_to_Bavaria,four_weeks_training,MSE,0.0003403830109384,2.331667685373263,0.0005042766081329,0.0005013491630493
GP2_to_Bavaria,four_weeks_training,MAE,0.0101296138106563,0.9429457318602186,0.0117402404165742,0.0116148910531068
GP2_to_ELD,Zero-Shot,MSE,0.9884330647705244,3.952593744994648e+23,0.960147064750212,1.1163130706026607
GP2_to_ELD,Zero-Shot,MAE,0.807101722833884,79176060922.9781,0.8121968180376248,0.8035877426392841
GP2_to_ELD,four_weeks_tl,MSE,0.4968519149361736,8.126330992551254e+24,0.9495710038790738,0.3628269449474602
GP2_to_ELD,four_weeks_tl,MAE,0.5253008741096858,1628333381103.416,0.8109574167832841,0.4069665956997523
GP2_to_ELD,full_tl,MSE,0.3699693305105188,424383620056953.44,0.9493941064298588,0.261170093459587
GP2_to_ELD,full_tl,MAE,0.4210047773527403,13797968.44069343,0.8099879736665392,0.3430611732123542
GP2_to_ELD,full_training,MSE,0.3435636817538825,1923507591672.5256,0.9472508471812644,0.230323689343938
GP2_to_ELD,full_training,MAE,0.4051376353323894,971221.7301551095,0.8093187714362666,0.3158457871988742
GP2_to_ELD,four_weeks_training,MSE,0.4178027910907773,6.576755155806324e+18,0.9538927787411822,0.3597530537985102
GP2_to_ELD,four_weeks_training,MAE,0.4567717345309083,1774727827.2116787,0.8129258854110746,0.4076019541299256
